Date,Nasdaq Change %,Nasdaq Trend,S&P500 Change %,S&P500 Trend,DJI Change %,DJI Trend,VIX Change %,VIX Trend
2/21/2008,2.0100,1,-1.29,0,-1.15,0,2.95,1
2/22/2008,-1.3700,0,0.79,1,0.79,1,-4.22,0
2/25/2008,-1.5300,0,1.38,1,1.53,1,-4.28,0
2/26/2008,0.0400,1,0.69,1,0.91,1,-4.91,0
2/27/2008,2.5900,1,-0.09,0,0.07,1,3.61,1
2/28/2008,3.8500,1,-0.89,0,-0.88,0,3.70,1
2/29/2008,1.8500,1,-2.71,0,-2.51,0,12.79,1
3/3/2008,0.4200,1,0.05,1,-0.06,0,-0.98,0
3/4/2008,-2.4500,0,-0.34,0,-0.37,0,-2.89,0
3/5/2008,1.6400,1,0.52,1,0.34,1,-3.61,0
3/6/2008,-3.7300,0,-2.20,0,-1.75,0,11.99,1
3/7/2008,0.6400,1,-0.84,0,-1.22,0,-0.22,0
3/10/2008,-1.6400,0,-1.55,0,-1.29,0,6.88,1
3/11/2008,0.3700,1,3.71,1,3.55,1,-10.28,0
3/12/2008,0.1900,1,-0.90,0,-0.38,0,3.26,1
3/13/2008,-0.2800,0,0.51,1,0.29,1,0.26,1
3/14/2008,0.3300,1,-2.08,0,-1.60,0,14.18,1
3/17/2008,-1.6500,0,-0.90,0,0.18,1,3.47,1
3/18/2008,-0.3600,0,4.24,1,3.51,1,-20.01,0
3/19/2008,-0.4700,0,-2.43,0,-2.36,0,15.70,1
3/20/2008,-0.8000,0,2.39,1,2.16,1,-10.79,0
3/24/2008,-0.1000,0,1.53,1,1.52,1,-3.34,0
3/25/2008,2.5600,1,0.23,1,-0.13,0,-0.04,0
3/26/2008,1.3900,1,-0.88,0,-0.88,0,1.40,1
3/27/2008,0.5000,1,-1.15,0,-0.97,0,-0.77,0
3/28/2008,1.8800,1,-0.80,0,-0.70,0,-0.66,0
3/31/2008,-1.5700,0,0.57,1,0.38,1,-0.39,0
4/1/2008,2.3200,1,3.59,1,3.19,1,-11.44,0
4/2/2008,-2.2200,0,-0.19,0,-0.38,0,3.31,1
4/3/2008,1.4200,1,0.13,1,0.16,1,-0.94,0
4/4/2008,0.7400,1,0.08,1,-0.13,0,-3.27,0
4/7/2008,-0.2900,0,0.16,1,0.02,1,-0.13,0
4/8/2008,1.8700,1,-0.51,0,-0.29,0,-0.27,0
4/9/2008,2.2600,1,-0.81,0,-0.39,0,2.01,1
4/10/2008,0.3700,1,0.45,1,0.44,1,-3.64,0
4/11/2008,-3.0200,0,-2.04,0,-2.04,0,6.73,1
4/14/2008,1.7100,1,-0.34,0,-0.19,0,1.53,1
4/15/2008,-0.1300,0,0.46,1,0.49,1,-4.37,0
4/16/2008,-1.0700,0,2.27,1,2.08,1,-9.88,0
4/17/2008,-1.2700,0,0.06,1,0.01,1,-0.78,0
4/18/2008,-1.2500,0,1.81,1,1.81,1,-1.18,0
4/21/2008,1.2100,1,-0.16,0,-0.19,0,1.84,1
4/22/2008,1.8700,1,-0.88,0,-0.82,0,1.80,1
4/23/2008,-0.6000,0,0.29,1,0.34,1,-2.92,0
4/24/2008,-1.9900,0,0.64,1,0.67,1,-0.99,0
4/25/2008,2.7100,1,0.65,1,0.33,1,-2.34,0
4/28/2008,-4.1100,0,-0.11,0,-0.16,0,0.26,1
4/29/2008,-1.2700,0,-0.39,0,-0.31,0,3.05,1
4/30/2008,-4.9600,0,-0.38,0,-0.09,0,2.72,1
5/1/2008,0.9800,1,1.71,1,1.48,1,-9.19,0
5/2/2008,1.3900,1,0.32,1,0.37,1,-3.71,0
5/5/2008,0.6800,1,-0.45,0,-0.68,0,3.96,1
5/6/2008,0.6000,1,0.77,1,0.40,1,-3.65,0
5/7/2008,-0.3400,0,-1.81,0,-1.59,0,8.35,1
5/8/2008,1.7300,1,0.37,1,0.41,1,-1.67,0
5/9/2008,0.7600,1,-0.67,0,-0.94,0,0.05,1
5/12/2008,0.6000,1,1.10,1,1.02,1,-8.35,0
5/13/2008,0.4200,1,-0.04,0,-0.34,0,1.07,1
5/14/2008,1.0600,1,0.40,1,0.52,1,-1.78,0
5/15/2008,-0.5700,0,1.06,1,0.73,1,-7.70,0
5/16/2008,0.7300,1,0.13,1,-0.05,0,1.04,1
5/19/2008,1.0000,1,0.09,1,0.32,1,3.28,1
5/20/2008,-0.2100,0,-0.93,0,-1.53,0,3.35,1
5/21/2008,0.2700,1,-1.61,0,-1.77,0,5.75,1
5/22/2008,2.1300,1,0.26,1,0.19,1,-2.90,0
5/23/2008,-1.6900,0,-1.32,0,-1.16,0,8.31,1
5/27/2008,-0.3900,0,0.68,1,0.55,1,0.46,1
5/28/2008,-0.8700,0,0.40,1,0.36,1,-2.90,0
5/29/2008,1.0000,1,0.53,1,0.41,1,-4.88,0
5/30/2008,0.5200,1,0.15,1,-0.06,0,-1.71,0
6/2/2008,0.3500,1,-1.05,0,-1.06,0,11.22,1
6/3/2008,1.4700,1,-0.58,0,-0.81,0,2.07,1
6/4/2008,1.4900,1,-0.03,0,-0.10,0,2.77,1
6/5/2008,0.4300,1,1.95,1,1.73,1,-10.43,0
6/6/2008,1.3500,1,-3.09,0,-3.13,0,26.46,1
6/9/2008,-1.2700,0,0.08,1,0.58,1,-1.87,0
6/10/2008,1.6700,1,-0.24,0,0.08,1,0.26,1
6/11/2008,-0.9400,0,-1.69,0,-1.68,0,4.06,1
6/12/2008,-2.2900,0,0.33,1,0.48,1,-3.28,0
6/13/2008,0.2400,1,1.50,1,1.37,1,-9.04,0
6/16/2008,-0.8100,0,0.01,1,-0.31,0,-1.27,0
6/17/2008,2.5100,1,-0.68,0,-0.89,0,0.86,1
6/18/2008,0.2800,1,-0.97,0,-1.08,0,5.25,1
6/19/2008,-0.7300,0,0.38,1,0.28,1,-2.97,0
6/20/2008,0.5900,1,-1.85,0,-1.83,0,5.98,1
6/23/2008,0.9400,1,0.01,1,0.00,0,-1.01,0
6/24/2008,-2.1300,0,-0.28,0,-0.29,0,-0.97,0
6/25/2008,0.6600,1,0.58,1,0.04,1,-5.71,0
6/26/2008,0.5300,1,-2.94,0,-3.03,0,13.20,1
6/27/2008,1.4400,1,-0.37,0,-0.93,0,-2.05,0
6/30/2008,-0.8600,0,0.13,1,0.03,1,2.18,1
7/1/2008,2.2100,1,0.38,1,0.28,1,-1.25,0
7/2/2008,0.5200,1,-1.82,0,-1.46,0,9.60,1
7/3/2008,0.9500,1,0.11,1,0.65,1,-4.40,0
7/7/2008,1.8700,1,-0.84,0,-0.50,0,4.04,1
7/8/2008,1.2000,1,1.71,1,1.36,1,-10.20,0
7/9/2008,-2.5900,0,-2.28,0,-2.08,0,8.98,1
7/10/2008,1.0900,1,0.70,1,0.73,1,1.43,1
7/11/2008,-2.1900,0,-1.11,0,-1.14,0,7.42,1
7/14/2008,0.7400,1,-0.90,0,-0.41,0,3.60,1
7/15/2008,1.1100,1,-1.09,0,-0.84,0,0.21,1
7/16/2008,0.0300,1,2.51,1,2.52,1,-12.05,0
7/17/2008,0.3300,1,1.20,1,1.85,1,-0.36,0
7/18/2008,0.1500,1,0.03,1,0.44,1,-3.84,0
7/21/2008,1.7500,1,-0.05,0,-0.25,0,-4.16,0
7/22/2008,1.4300,1,1.35,1,1.18,1,-8.11,0
7/23/2008,1.0100,1,0.41,1,0.26,1,0.61,1
7/24/2008,-5.2700,0,-2.31,0,-2.43,0,10.00,1
7/25/2008,0.6700,1,0.42,1,0.19,1,-2.26,0
7/28/2008,0.2900,1,-1.86,0,-2.11,0,5.76,1
7/29/2008,1.1300,1,2.34,1,2.39,1,-9.08,0
7/30/2008,2.0600,1,1.67,1,1.63,1,-3.72,0
7/31/2008,-0.6900,0,-1.31,0,-1.78,0,8.16,1
8/1/2008,0.7800,1,-0.56,0,-0.45,0,-1.61,0
8/4/2008,0.5900,1,-0.90,0,-0.37,0,4.08,1
8/5/2008,0.6600,1,2.87,1,2.94,1,-10.00,0
8/6/2008,1.2900,1,0.34,1,0.35,1,-4.30,0
8/7/2008,-0.4600,0,-1.79,0,-1.93,0,4.55,1
8/8/2008,0.7700,1,2.39,1,2.65,1,-2.32,0
8/11/2008,0.1700,1,0.69,1,0.41,1,-2.61,0
8/12/2008,0.4300,1,-1.21,0,-1.19,0,5.22,1
8/13/2008,-0.9700,0,-0.29,0,-0.94,0,1.79,1
8/14/2008,2.0800,1,0.55,1,0.72,1,-5.61,0
8/15/2008,-0.5400,0,0.41,1,0.38,1,-3.74,0
8/18/2008,2.4400,1,-1.51,0,-1.55,0,7.15,1
8/19/2008,0.7900,1,-0.93,0,-1.14,0,1.43,1
8/20/2008,0.9100,1,0.62,1,0.61,1,-4.04,0
8/21/2008,-1.5500,0,0.25,1,0.11,1,-2.94,0
8/22/2008,-2.0600,0,1.13,1,1.73,1,-5.10,0
8/25/2008,0.7800,1,-1.96,0,-2.08,0,11.48,1
8/26/2008,1.5800,1,0.37,1,0.23,1,-2.29,0
8/27/2008,1.4100,1,0.80,1,0.79,1,-3.56,0
8/28/2008,0.5100,1,1.48,1,1.85,1,-1.67,0
8/29/2008,1.1300,1,-1.37,0,-1.47,0,6.28,1
9/2/2008,1.2300,1,-0.41,0,-0.23,0,6.49,1
9/3/2008,-3.2000,0,-0.20,0,0.14,1,-2.55,0
9/4/2008,-0.2800,0,-2.99,0,-2.99,0,12.13,1
9/5/2008,3.5700,1,0.44,1,0.29,1,-4.04,0
9/8/2008,-1.4000,0,2.05,1,2.58,1,-1.82,0
9/9/2008,1.1100,1,-3.41,0,-2.43,0,12.50,1
9/10/2008,1.6500,1,0.61,1,0.34,1,-3.73,0
9/11/2008,-0.0100,0,1.38,1,1.46,1,-0.53,0
9/12/2008,2.8100,1,0.21,1,-0.10,0,5.21,1
9/15/2008,-3.4800,0,-4.71,0,-4.42,0,23.54,1
9/16/2008,-1.0300,0,1.75,1,1.30,1,-4.42,0
9/17/2008,1.3800,1,-4.71,0,-4.06,0,19.54,1
9/18/2008,1.6600,1,4.33,1,3.86,1,-8.61,0
9/19/2008,-1.4400,0,4.03,1,3.35,1,-3.11,0
9/22/2008,3.9500,1,-3.82,0,-3.27,0,5.55,1
9/23/2008,0.4800,1,-1.56,0,-1.47,0,5.52,1
9/24/2008,0.7700,1,-0.20,0,-0.27,0,-1.48,0
9/25/2008,2.5800,1,1.97,1,1.82,1,-6.73,0
9/26/2008,-0.3300,0,0.34,1,1.10,1,5.85,1
9/29/2008,7.3300,1,-8.81,0,-6.98,0,34.48,1
9/30/2008,-1.5300,0,5.42,1,4.68,1,-15.69,0
10/1/2008,1.7200,1,-0.45,0,-0.18,0,1.07,1
10/2/2008,-4.4100,0,-4.03,0,-3.22,0,13.69,1
10/3/2008,-0.9500,0,-1.35,0,-1.50,0,-0.27,0
10/6/2008,3.6200,1,-3.85,0,-3.58,0,15.31,1
10/7/2008,-3.7900,0,-5.74,0,-5.11,0,3.13,1
10/8/2008,5.6000,1,-1.13,0,-2.00,0,7.17,1
10/9/2008,-0.4500,0,-7.62,0,-7.33,0,11.11,1
10/10/2008,8.1200,1,-1.18,0,-1.49,0,9.43,1
10/13/2008,-0.2700,0,11.58,1,11.08,1,-21.39,0
10/14/2008,-3.7900,0,-0.53,0,-0.82,0,0.25,1
10/15/2008,2.3000,1,-9.03,0,-7.87,0,25.61,1
10/16/2008,-4.7000,0,4.25,1,4.68,1,-2.37,0
10/17/2008,6.2300,1,-0.62,0,-1.41,0,4.02,1
10/20/2008,-12.3200,0,4.77,1,4.67,1,-24.68,0
10/21/2008,9.3500,1,-3.08,0,-2.50,0,0.26,1
10/22/2008,-9.4300,0,-6.10,0,-5.69,0,31.14,1
10/23/2008,-4.7000,0,1.26,1,2.02,1,-2.66,0
10/24/2008,4.9500,1,-3.45,0,-3.59,0,16.71,1
10/27/2008,-7.2900,0,-3.18,0,-2.42,0,1.18,1
10/28/2008,-1.8600,0,10.79,1,10.88,1,-16.36,0
10/29/2008,-3.1000,0,-1.11,0,-0.82,0,4.48,1
10/30/2008,3.8500,1,2.58,1,2.11,1,-10.09,0
10/31/2008,-2.9900,0,1.54,1,1.57,1,-4.79,0
11/3/2008,4.4900,1,-0.25,0,-0.06,0,-10.37,0
11/4/2008,0.0100,1,4.08,1,3.28,1,-11.08,0
11/5/2008,-4.6100,0,-5.27,0,-5.05,0,14.31,1
11/6/2008,0.1700,1,-5.03,0,-4.85,0,16.72,1
11/7/2008,-2.7700,0,2.89,1,2.85,1,-11.90,0
11/10/2008,-3.7100,0,-1.27,0,-0.82,0,6.92,1
11/11/2008,-1.7900,0,-2.20,0,-1.99,0,2.43,1
11/12/2008,-0.6700,0,-5.19,0,-4.73,0,8.17,1
11/13/2008,0.8700,1,6.92,1,6.67,1,-9.98,0
11/14/2008,0.0200,1,-4.17,0,-3.82,0,10.83,1
11/17/2008,0.2000,1,-2.58,0,-2.63,0,4.28,1
11/18/2008,-0.1400,0,0.98,1,1.83,1,-2.18,0
11/19/2008,0.9000,1,-6.12,0,-5.07,0,9.79,1
11/20/2008,0.1100,1,-6.71,0,-5.56,0,8.89,1
11/21/2008,1.1300,1,6.32,1,6.54,1,-10.13,0
11/24/2008,-0.5400,0,6.47,1,4.93,1,-10.97,0
11/25/2008,0.6700,1,0.66,1,0.43,1,-5.87,0
11/26/2008,0.4300,1,3.53,1,2.91,1,-9.82,0
11/28/2008,2.1000,1,0.96,1,1.17,1,0.66,1
12/1/2008,1.3400,1,-8.93,0,-7.70,0,23.93,1
12/2/2008,-1.5900,0,3.99,1,3.31,1,-8.07,0
12/3/2008,0.2600,1,2.58,1,2.05,1,-3.59,0
12/4/2008,0.0600,1,-2.93,0,-2.51,0,4.81,1
12/5/2008,1.4300,1,3.65,1,3.09,1,-5.83,0
12/8/2008,-1.8900,0,3.84,1,3.46,1,-2.40,0
12/9/2008,-0.9300,0,-2.31,0,-2.72,0,0.72,1
12/10/2008,0.2000,1,1.19,1,0.81,1,-5.40,0
12/11/2008,0.1400,1,-2.85,0,-2.24,0,0.09,1
12/12/2008,-0.1900,0,0.70,1,0.75,1,-2.69,0
12/15/2008,0.3400,1,-1.27,0,-0.75,0,4.57,1
12/16/2008,1.0600,1,5.14,1,4.20,1,-7.73,0
12/17/2008,0.0800,1,-0.96,0,-1.12,0,-4.83,0
12/18/2008,-0.2400,0,-2.12,0,-2.49,0,-5.02,0
12/19/2008,1.0400,1,0.29,1,-0.30,0,-5.09,0
12/22/2008,-0.2700,0,-1.83,0,-0.69,0,-0.82,0
12/23/2008,0.8100,1,-0.97,0,-1.18,0,1.03,1
12/24/2008,0.6700,1,0.58,1,0.58,1,-1.80,0
12/26/2008,-0.0300,0,0.54,1,0.56,1,-1.88,0
12/29/2008,0.5600,1,-0.39,0,-0.37,0,1.20,1
12/30/2008,-0.7900,0,2.44,1,2.17,1,-5.17,0
12/31/2008,1.3300,1,1.42,1,1.25,1,-3.92,0
1/2/2009,0.3000,1,3.16,1,2.94,1,-2.03,0
1/5/2009,-0.6700,0,-0.47,0,-0.91,0,-0.28,0
1/6/2009,-0.1700,0,0.78,1,0.69,1,-1.33,0
1/7/2009,0.7800,1,-3.00,0,-2.72,0,12.53,1
1/8/2009,0.0800,1,0.34,1,-0.31,0,-1.91,0
1/9/2009,0.2300,1,-2.13,0,-1.64,0,0.61,1
1/12/2009,0.4200,1,-2.26,0,-1.46,0,7.05,1
1/13/2009,0.6700,1,0.18,1,-0.30,0,-5.61,0
1/14/2009,0.0500,1,-3.35,0,-2.94,0,13.57,1
1/15/2009,0.1000,1,0.13,1,0.15,1,3.79,1
1/16/2009,0.9100,1,0.76,1,0.84,1,-9.59,0
1/20/2009,0.2000,1,-5.28,0,-4.01,0,22.86,1
1/21/2009,0.7300,1,4.35,1,3.51,1,-18.06,0
1/22/2009,0.4400,1,-1.52,0,-1.28,0,1.87,1
1/23/2009,-0.0700,0,0.54,1,-0.56,0,-0.04,0
1/26/2009,-0.4000,0,0.56,1,0.48,1,-3.34,0
1/27/2009,1.0000,1,1.09,1,0.72,1,-7.53,0
1/28/2009,0.0500,1,3.36,1,2.46,1,-6.13,0
1/29/2009,0.5400,1,-3.31,0,-2.70,0,7.49,1
1/30/2009,-0.5500,0,-2.28,0,-1.82,0,5.18,1
2/2/2009,-1.1200,0,-0.05,0,-0.80,0,1.52,1
2/3/2009,-0.4600,0,1.58,1,1.78,1,-5.40,0
2/4/2009,0.6600,1,-0.75,0,-1.51,0,1.83,1
2/5/2009,0.1800,1,1.64,1,1.34,1,-0.27,0
2/6/2009,1.3200,1,2.69,1,2.70,1,-0.82,0
2/9/2009,0.1600,1,0.15,1,-0.12,0,0.62,1
2/10/2009,-0.2400,0,-4.91,0,-4.62,0,6.94,1
2/11/2009,-0.5100,0,0.80,1,0.64,1,-4.59,0
2/12/2009,0.2400,1,0.17,1,-0.09,0,-7.37,0
2/13/2009,0.1100,1,-1.00,0,-1.04,0,4.07,1
2/17/2009,0.7300,1,-4.56,0,-3.79,0,13.35,1
2/18/2009,-0.0400,0,-0.10,0,0.04,1,-0.41,0
2/19/2009,-0.0500,0,-1.20,0,-1.19,0,-2.85,0
2/20/2009,0.2600,1,-1.14,0,-1.34,0,4.72,1
2/23/2009,-0.1300,0,-3.47,0,-3.41,0,6.73,1
2/24/2009,0.4800,1,4.01,1,3.32,1,-13.55,0
2/25/2009,0.2800,1,-1.07,0,-1.09,0,-1.80,0
2/26/2009,-0.2900,0,-1.58,0,-1.22,0,-0.02,0
2/27/2009,0.0200,1,-2.36,0,-1.66,0,3.78,1
3/2/2009,0.5600,1,-4.66,0,-4.24,0,13.59,1
3/3/2009,1.1300,1,-0.64,0,-0.55,0,-3.27,0
3/4/2009,-0.1400,0,2.38,1,2.23,1,-6.62,0
3/5/2009,0.3300,1,-4.25,0,-4.09,0,5.49,1
3/6/2009,-0.5900,0,0.12,1,0.49,1,-1.67,0
3/9/2009,1.0100,1,-1.00,0,-1.21,0,0.71,1
3/10/2009,0.7000,1,6.37,1,5.80,1,-10.69,0
3/11/2009,0.8100,1,0.24,1,0.06,1,-1.71,0
3/12/2009,0.1900,1,4.07,1,3.46,1,-5.57,0
3/13/2009,-0.7200,0,0.77,1,0.75,1,2.87,1
3/16/2009,0.9100,1,-0.35,0,-0.10,0,3.26,1
3/17/2009,-0.8300,0,3.21,1,2.48,1,-6.72,0
3/18/2009,0.4000,1,2.09,1,1.23,1,-1.81,0
3/19/2009,-0.3000,0,-1.30,0,-1.15,0,9.04,1
3/20/2009,1.2400,1,-1.98,0,-1.65,0,5.06,1
3/23/2009,-0.1000,0,7.08,1,6.84,1,-5.80,0
3/24/2009,1.3400,1,-2.04,0,-1.49,0,-0.69,0
3/25/2009,0.6000,1,0.96,1,1.17,1,-1.58,0
3/26/2009,1.0200,1,2.33,1,2.25,1,-4.47,0
3/27/2009,-1.6700,0,-2.03,0,-1.87,0,1.68,1
3/30/2009,-0.3300,0,-3.48,0,-3.27,0,10.96,1
3/31/2009,1.4000,1,1.31,1,1.16,1,-3.07,0
4/1/2009,1.1200,1,1.66,1,2.01,1,-4.21,0
4/2/2009,-1.5600,0,2.87,1,2.79,1,-0.57,0
4/3/2009,-1.1300,0,0.97,1,0.50,1,-5.57,0
4/6/2009,0.7500,1,-0.83,0,-0.52,0,3.10,1
4/7/2009,-1.1300,0,-2.39,0,-2.34,0,-1.32,0
4/8/2009,-0.5800,0,1.18,1,0.61,1,-3.81,0
4/9/2009,1.0500,1,3.81,1,3.14,1,-5.97,0
4/13/2009,-1.4600,0,0.25,1,-0.32,0,3.50,1
4/14/2009,-0.0600,0,-2.01,0,-1.71,0,-0.37,0
4/15/2009,-0.8000,0,1.25,1,1.38,1,-3.98,0
4/16/2009,0.0700,1,1.55,1,1.19,1,-1.05,0
4/17/2009,-0.1100,0,0.50,1,0.07,1,-5.17,0
4/20/2009,0.4000,1,-4.28,0,-3.56,0,15.44,1
4/21/2009,-0.2800,0,2.13,1,1.63,1,-5.21,0
4/22/2009,-0.2200,0,-0.77,0,-1.04,0,2.58,1
4/23/2009,0.3000,1,0.99,1,0.89,1,-2.49,0
4/24/2009,1.0600,1,1.68,1,1.50,1,-0.89,0
4/27/2009,-0.0400,0,-1.01,0,-0.64,0,4.07,1
4/28/2009,-0.1900,0,-0.27,0,-0.10,0,-0.97,0
4/29/2009,-0.1700,0,2.16,1,2.11,1,-4.93,0
4/30/2009,1.7500,1,-0.10,0,-0.22,0,1.16,1
5/1/2009,1.3000,1,0.54,1,0.54,1,-3.29,0
5/4/2009,-1.1100,0,3.39,1,2.61,1,-2.18,0
5/5/2009,-0.1300,0,-0.38,0,-0.19,0,-3.39,0
5/6/2009,1.4800,1,1.74,1,1.21,1,-2.73,0
5/7/2009,0.3800,1,-1.32,0,-1.20,0,3.05,1
5/8/2009,-0.3400,0,2.41,1,1.96,1,-4.16,0
5/11/2009,1.3200,1,-2.15,0,-1.82,0,2.56,1
5/12/2009,-3.0000,0,-0.10,0,0.60,1,-3.26,0
5/13/2009,-0.3600,0,-2.69,0,-2.18,0,5.82,1
5/14/2009,0.9000,1,1.04,1,0.56,1,-6.78,0
5/15/2009,-0.6800,0,-1.14,0,-0.75,0,5.58,1
5/18/2009,1.3500,1,3.04,1,2.85,1,-8.70,0
5/19/2009,1.6700,1,-0.17,0,-0.34,0,-4.76,0
5/20/2009,-0.0900,0,-0.51,0,-0.62,0,0.80,1
5/21/2009,-3.0200,0,-1.68,0,-1.54,0,7.99,1
5/22/2009,1.9500,1,-0.15,0,-0.18,0,4.08,1
5/26/2009,-1.2000,0,2.63,1,2.37,1,-6.16,0
5/27/2009,-1.0000,0,-1.90,0,-2.05,0,5.68,1
5/28/2009,2.2400,1,1.54,1,1.25,1,-2.13,0
5/29/2009,0.3800,1,1.36,1,1.15,1,-8.68,0
6/1/2009,1.3900,1,2.58,1,2.60,1,3.87,1
6/2/2009,-3.4700,0,0.20,1,0.22,1,-1.36,0
6/3/2009,-1.3200,0,-1.37,0,-0.75,0,4.69,1
6/4/2009,-0.7900,0,1.15,1,0.86,1,-2.71,0
6/5/2009,-1.1900,0,-0.25,0,0.15,1,-1.86,0
6/8/2009,-0.2400,0,-0.10,0,0.02,1,0.51,1
6/9/2009,-0.4400,0,0.35,1,-0.02,0,-5.04,0
6/10/2009,1.1100,1,-0.35,0,-0.27,0,0.67,1
6/11/2009,-1.0000,0,0.61,1,0.37,1,-1.23,0
6/12/2009,0.8500,1,0.14,1,0.32,1,0.14,1
6/15/2009,0.5800,1,-2.38,0,-2.13,0,9.45,1
6/16/2009,0.7100,1,-1.27,0,-1.25,0,6.07,1
6/17/2009,-0.7400,0,-0.14,0,-0.09,0,-3.49,0
6/18/2009,0.2700,1,0.84,1,0.69,1,-4.79,0
6/19/2009,-0.4600,0,0.31,1,-0.19,0,-6.79,0
6/22/2009,-0.4300,0,-3.06,0,-2.35,0,11.36,1
6/23/2009,0.1700,1,0.23,1,-0.19,0,-1.89,0
6/24/2009,0.5900,1,0.65,1,-0.28,0,-5.00,0
6/25/2009,-0.0800,0,2.14,1,2.08,1,-9.26,0
6/26/2009,0.7500,1,-0.15,0,-0.40,0,-1.63,0
6/29/2009,0.5400,1,0.91,1,1.08,1,-2.24,0
6/30/2009,-0.7800,0,-0.85,0,-0.97,0,3.94,1
7/1/2009,-0.1000,0,0.44,1,0.68,1,-0.49,0
7/2/2009,0.7500,1,-2.91,0,-2.63,0,6.60,1
7/6/2009,0.2200,1,0.26,1,0.53,1,3.76,1
7/7/2009,1.0600,1,-1.97,0,-1.94,0,6.38,1
7/8/2009,0.4800,1,-0.17,0,0.18,1,1.46,1
7/9/2009,0.7300,1,0.35,1,0.06,1,-4.86,0
7/10/2009,0.3200,1,-0.40,0,-0.45,0,-2.55,0
7/13/2009,-1.5100,0,2.49,1,2.27,1,-9.34,0
7/14/2009,-0.3200,0,0.53,1,0.33,1,-4.90,0
7/15/2009,-0.2400,0,2.96,1,3.07,1,3.48,1
7/16/2009,0.8000,1,0.86,1,1.11,1,-1.82,0
7/17/2009,0.4200,1,-0.04,0,0.37,1,-4.25,0
7/20/2009,1.3900,1,1.14,1,1.19,1,0.25,1
7/21/2009,0.6200,1,0.36,1,0.77,1,-2.17,0
7/22/2009,-0.5200,0,-0.05,0,-0.39,0,-1.68,0
7/23/2009,0.5700,1,2.33,1,2.12,1,-0.17,0
7/24/2009,-0.3800,0,0.30,1,0.26,1,-1.45,0
7/27/2009,-0.0100,0,0.30,1,0.17,1,5.15,1
7/28/2009,1.0500,1,-0.26,0,-0.13,0,3.01,1
7/29/2009,1.6600,1,-0.46,0,-0.29,0,2.40,1
7/30/2009,0.5300,1,1.19,1,0.92,1,-0.82,0
7/31/2009,0.6400,1,0.07,1,0.19,1,2.05,1
8/3/2009,2.6500,1,1.53,1,1.25,1,-1.39,0
8/4/2009,-1.6100,0,0.30,1,0.36,1,-2.62,0
8/5/2009,-1.5100,0,-0.29,0,-0.42,0,0.04,1
8/6/2009,0.2700,1,-0.56,0,-0.27,0,3.09,1
8/7/2009,-0.7900,0,1.34,1,1.23,1,-3.54,0
8/10/2009,-0.3900,0,-0.33,0,-0.34,0,0.93,1
8/11/2009,0.1100,1,-1.27,0,-1.03,0,4.00,1
8/12/2009,-1.5800,0,1.15,1,1.30,1,-2.08,0
8/13/2009,-0.4500,0,0.69,1,0.39,1,-2.91,0
